interaction_id,sme_id,product_id,interaction_type,interaction_date,amount_requested_usd,amount_approved_usd,satisfaction_score,repayment_rate_pct,reason_rejection,channel
1,SME_00001,1,application,2024-11-15,8163.18,,,,,mobile_app
2,SME_00001,1,approved,2024-11-18,8163.18,7223.61,,,,mobile_app
3,SME_00001,2,application,2024-11-08,349.19,,,,,mobile_app
4,SME_00001,2,approved,2024-11-10,349.19,259.33,,,,mobile_app
5,SME_00001,8,application,2022-06-27,3202.02,,,,,mobile_app
6,SME_00001,8,approved,2022-07-01,3202.02,2749.1,,,,mobile_app
7,SME_00001,8,completed,2023-01-04,3202.02,2749.1,3.0,88.3,,mobile_app
8,SME_00002,1,application,2015-03-01,1575.28,,,,,branch
9,SME_00002,1,approved,2015-03-08,1575.28,1324.33,,,,branch
10,SME_00002,1,completed,2016-02-18,1575.28,1324.33,4.0,91.1,,branch
11,SME_00002,2,application,2016-11-04,5209.49,,,,,mobile_app
12,SME_00002,2,approved,2016-11-07,5209.49,5154.18,,,,mobile_app
13,SME_00002,2,completed,2017-09-12,5209.49,5154.18,5.0,91.4,,mobile_app
14,SME_00002,6,rejected,2016-03-02,,,,,documentation_missing,agent
15,SME_00003,1,rejected,2019-07-04,2713.13,,,,sector_not_eligible,agent
16,SME_00003,2,rejected,2018-10-16,211.89,,,,documentation_missing,agent
17,SME_00003,5,application,2018-02-14,,,,,,branch
18,SME_00003,5,approved,2018-02-23,,,,,,branch
19,SME_00003,5,completed,2018-06-04,,,3.0,,,branch
20,SME_00003,7,application,2020-05-02,680.15,,,,,mobile_app
21,SME_00003,7,approved,2020-05-15,680.15,594.98,,,,mobile_app
22,SME_00003,7,completed,2020-08-16,680.15,594.98,,86.2,,mobile_app
23,SME_00004,5,application,2025-03-31,,,,,,partner
24,SME_00004,5,approved,2025-04-11,,,,,,partner
25,SME_00005,1,application,2009-09-04,1912.54,,,,,mobile_app
26,SME_00005,1,approved,2009-09-15,1912.54,1703.78,,,,mobile_app
27,SME_00005,1,completed,2010-02-02,1912.54,1703.78,3.0,98.3,,mobile_app
28,SME_00005,4,rejected,2006-11-15,,,,,no_collateral,partner
29,SME_00005,8,application,2009-08-28,2092.85,,,,,mobile_app
30,SME_00005,8,approved,2009-09-03,2092.85,1897.08,,,,mobile_app
31,SME_00005,8,completed,2010-02-07,2092.85,1897.08,5.0,98.2,,mobile_app
32,SME_00006,1,application,2006-07-23,830.36,,,,,mobile_app
33,SME_00006,1,approved,2009-04-17,830.36,722.51,,,,mobile_app
34,SME_00006,1,completed,2009-07-17,830.36,722.51,3.0,89.5,,mobile_app
35,SME_00006,7,inquiry,2007-06-06,,,,,,partner
36,SME_00006,8,rejected,2009-07-20,385.05,,,,sector_not_eligible,branch
37,SME_00007,6,application,2021-10-16,,,,,,mobile_app
38,SME_00007,6,approved,2021-10-19,,,,,,mobile_app
39,SME_00007,6,completed,2022-03-03,,,3.0,,,mobile_app
40,SME_00008,1,application,2015-10-04,2794.5,,,,,agent
41,SME_00008,1,approved,2015-10-08,2794.5,2711.98,,,,agent
42,SME_00008,1,completed,2015-12-28,2794.5,3018.1764648381923,4.0,88.1,,agent
43,SME_00008,6,application,2017-01-31,,,,,,partner
44,SME_00008,6,approved,2017-02-09,,,,,,partner
45,SME_00008,6,completed,2017-06-19,,,3.0,,,partner
46,SME_00009,1,application,2019-06-04,5612.79,,,,,agent
47,SME_00009,1,approved,2019-06-05,5612.79,5547.69,,,,agent
48,SME_00009,8,rejected,2018-03-10,1389.56,,,,poor_credit_history,branch
49,SME_00011,1,application,2021-09-19,1856.34,,,,,branch
50,SME_00011,1,approved,2021-09-30,1856.34,1786.07,,,,branch
51,SME_00011,1,defaulted,2022-07-05,1856.34,1786.07,1.0,32.1,,branch
52,SME_00011,8,rejected,2020-12-05,483.19,,,,no_collateral,partner
53,SME_00012,2,application,2020-03-28,4362.81,,,,,branch
54,SME_00012,2,approved,2020-04-08,4362.81,4216.38,,,,branch
55,SME_00012,2,completed,2020-09-01,4362.81,4216.38,4.0,88.3,,branch
56,SME_00012,6,application,2017-06-03,,,,,,branch
57,SME_00012,6,approved,2017-06-12,,,,,,branch
58,SME_00012,6,completed,2017-08-26,,,5.0,,,branch
59,SME_00012,7,inquiry,2017-06-25,,,,,,agent
60,SME_00013,1,application,2012-03-26,5066.29,,,,,agent
61,SME_00013,1,approved,2012-04-05,5066.29,3738.41,,,,agent
62,SME_00013,6,inquiry,2009-09-09,,,,,,branch
63,SME_00013,8,application,2013-09-25,642.52,,,,,partner
64,SME_00013,8,approved,2013-09-28,642.52,814.7826611763436,,,,partner
65,SME_00014,1,application,2021-07-23,1693.1,,,,,partner
66,SME_00014,1,approved,2021-07-28,1693.1,1688.51,,,,partner
67,SME_00014,1,completed,2022-03-09,1693.1,1688.51,4.0,98.8,,partner
68,SME_00015,1,application,2007-07-07,2537.93,,,,,mobile_app
69,SME_00015,1,approved,2007-07-18,2537.93,2234.5,,,,mobile_app
70,SME_00016,1,application,2013-07-21,771.28,,,,,agent
71,SME_00016,1,approved,2013-07-31,771.28,705.59,,,,agent
72,SME_00016,1,completed,2013-11-15,771.28,705.59,5.0,93.5,,agent
73,SME_00016,3,application,2012-05-09,,,,,,branch
74,SME_00016,3,approved,2012-05-11,,,,,,branch
75,SME_00016,8,application,2012-07-10,219.69,,,,,branch
76,SME_00016,8,approved,2012-07-22,219.69,213.76,,,,branch
77,SME_00016,8,completed,2013-04-27,219.69,213.76,5.0,95.6,,branch
78,SME_00017,1,application,2012-03-11,8057.04,,,,,mobile_app
79,SME_00017,1,approved,2012-03-21,8057.04,6649.47,,,,mobile_app
80,SME_00017,1,completed,2012-10-26,8057.04,6649.47,3.0,90.1,,mobile_app
81,SME_00017,6,application,2011-04-20,,,,,,mobile_app
82,SME_00017,6,approved,2011-04-22,,,,,,mobile_app
83,SME_00017,6,completed,2011-09-22,,,4.0,,,mobile_app
84,SME_00018,1,application,2020-04-13,5250.43,,,,,mobile_app
85,SME_00018,1,approved,2020-04-17,5250.43,4806.85,,,,mobile_app
86,SME_00018,1,completed,2020-08-20,5250.43,4806.85,4.0,89.1,,mobile_app
87,SME_00018,6,application,2023-07-20,,,,,,mobile_app
88,SME_00018,6,approved,2023-07-28,,,,,,mobile_app
89,SME_00019,2,inquiry,2019-06-13,,,,,,mobile_app
90,SME_00019,3,inquiry,2019-04-08,,,,,,agent
91,SME_00019,5,application,2020-11-23,,,,,,branch
92,SME_00019,5,approved,2020-12-06,,,,,,branch
93,SME_00019,5,completed,2021-03-15,,,4.0,,,branch
94,SME_00019,6,rejected,2018-06-05,,,,,insufficient_revenue,branch
95,SME_00019,7,rejected,2018-11-04,220.47,,,,documentation_missing,agent
96,SME_00020,6,application,2009-08-18,,,,,,agent
97,SME_00020,6,approved,2009-08-23,,,,,,agent
98,SME_00020,6,completed,2010-02-01,,,5.0,,,agent
99,SME_00020,8,rejected,2007-01-27,3702.13,,,,no_collateral,branch
100,SME_00021,1,rejected,2024-01-14,1960.8,,,,no_collateral,branch
101,SME_00021,2,application,2024-01-06,643.87,,,,,agent
102,SME_00021,2,approved,2024-01-14,643.87,780.4706979971781,,,,agent
103,SME_00021,2,completed,2024-09-08,643.87,494.58,4.0,88.6,,agent
104,SME_00021,3,inquiry,2021-05-09,,,,,,partner
105,SME_00021,6,application,2026-03-03,,,,,,mobile_app
106,SME_00021,6,approved,2026-03-11,,,,,,mobile_app
107,SME_00021,6,completed,2026-05-15,,,5.0,,,mobile_app
108,SME_00022,4,application,2022-01-29,,,,,,branch
109,SME_00022,4,approved,2022-02-08,,,,,,branch
110,SME_00022,4,completed,2022-06-26,,,4.0,,,branch
111,SME_00023,2,application,2015-12-27,2698.07,,,,,branch
112,SME_00023,2,approved,2016-01-08,2698.07,2203.17,,,,branch
113,SME_00023,2,completed,2016-07-25,2698.07,2203.17,5.0,94.6,,branch
114,SME_00024,2,application,2009-10-23,6180.88,,,,,branch
115,SME_00024,2,approved,2009-10-30,6180.88,4519.06,,,,branch
116,SME_00024,8,inquiry,2009-01-04,,,,,,mobile_app
117,SME_00026,7,application,2018-03-01,5197.78,,,,,branch
118,SME_00026,7,approved,2018-03-05,5197.78,4135.78,,,,branch
119,SME_00026,8,rejected,2016-09-28,924.23,,,,poor_credit_history,agent
120,SME_00027,1,application,2018-03-23,3030.9,,,,,branch
121,SME_00027,1,approved,2018-03-26,3030.9,2705.92,,,,branch
122,SME_00027,1,completed,2018-07-17,3030.9,2705.92,5.0,95.0,,branch
123,SME_00027,7,application,2016-10-22,6812.54,,,,,branch
124,SME_00027,7,approved,2016-10-24,6812.54,6167.26,,,,branch
125,SME_00027,7,completed,2017-07-07,6812.54,6167.26,4.0,93.3,,branch
126,SME_00028,6,rejected,2013-11-16,,,,,insufficient_revenue,branch
127,SME_00028,7,application,2012-10-22,7238.44,,,,,mobile_app
128,SME_00028,7,approved,2012-10-24,7238.44,5628.99,,,,mobile_app
129,SME_00028,7,completed,2013-08-13,7238.44,5628.99,,90.4,,mobile_app
130,SME_00029,1,application,2010-02-12,24736.43,,,,,agent
131,SME_00029,1,approved,2010-02-25,24736.43,24077.36,,,,agent
132,SME_00029,1,completed,2010-05-24,24736.43,24077.36,4.0,96.2,,agent
133,SME_00030,5,application,2016-06-22,,,,,,agent
134,SME_00030,5,approved,2016-06-24,,,,,,agent
135,SME_00030,5,completed,2016-08-11,,,4.0,,,agent
136,SME_00031,6,application,2019-05-07,,,,,,agent
137,SME_00031,6,approved,2019-05-13,,,,,,agent
138,SME_00031,6,completed,2019-06-26,,,4.0,,,agent
139,SME_00032,2,application,2012-04-26,11669.51,,,,,mobile_app
140,SME_00032,2,approved,2012-05-05,11669.51,8483.57,,,,mobile_app
141,SME_00032,3,rejected,2011-12-19,,,,,sector_not_eligible,mobile_app
142,SME_00032,4,rejected,2011-12-20,,,,,sector_not_eligible,agent
143,SME_00033,3,application,2019-01-30,,,,,,mobile_app
144,SME_00033,3,approved,2019-02-11,,,,,,mobile_app
145,SME_00033,3,completed,2019-07-09,,,4.0,,,mobile_app
146,SME_00033,5,application,2017-01-29,,,,,,branch
147,SME_00033,5,approved,2017-01-30,,,,,,branch
148,SME_00033,8,application,2017-06-19,148.75,,,,,mobile_app
149,SME_00033,8,approved,2017-06-25,148.75,123.05,,,,mobile_app
150,SME_00033,8,completed,2017-12-18,148.75,123.05,,99.9,,mobile_app
151,SME_00034,1,application,2019-02-18,22302.17,,,,,mobile_app
152,SME_00034,1,approved,2019-02-21,22302.17,20405.57,,,,mobile_app
153,SME_00034,1,completed,2019-07-23,22302.17,20405.57,5.0,97.7,,mobile_app
154,SME_00034,2,rejected,2016-01-13,488.47,,,,documentation_missing,branch
155,SME_00035,1,rejected,2014-02-19,401.6,,,,no_collateral,branch
156,SME_00036,3,application,2009-03-09,,,,,,mobile_app
157,SME_00036,3,approved,2009-03-17,,,,,,mobile_app
158,SME_00036,3,completed,2009-05-23,,,4.0,,,mobile_app
159,SME_00036,8,application,2010-01-29,1964.38,,,,,agent
160,SME_00036,8,approved,2010-02-06,1964.38,1718.12,,,,agent
161,SME_00037,4,application,2013-01-31,,,,,,branch
162,SME_00037,4,approved,2013-02-08,,,,,,branch
163,SME_00037,5,rejected,2013-06-03,,,,,poor_credit_history,mobile_app
164,SME_00037,6,application,2010-10-19,,,,,,mobile_app
