bureau_id,sme_id,pull_date,has_bank_account,has_mobile_money,has_loan_account,has_credit_card,has_debit_card,has_internet_banking,n_previous_loans,n_defaults,total_borrowed_usd,current_outstanding_usd,worst_payment_delay_days,uses_informal_lender,uses_friends_family_savings,collateral_type,collateral_value_usd,bureau_score
BUR_BGLC5XZU,SME_03978,2023-02-06,Never had,Have now,Never had,Never had,Never had,Never had,4,0,14279.67,11255.53,60.0,No,No,land,1887.42,
BUR_K3BSWRUH,SME_02669,2022-01-24,Never had,Have now,Have now,Never had,Never had,Never had,0,0,0.0,0.0,,No,No,none,,
BUR_T6OZH0AZ,SME_02562,2020-06-04,Never had,Never had,Never had,Never had,Never had,Never had,2,1,6037.39,2901.25,0.0,Sometimes,Yes,guarantor,366.44,
BUR_XRPVZJYN,SME_03058,2022-06-12,Have now,Used to have but don't have now,Never had,Never had,Have now,Never had,2,1,6529.29,562.59,0.0,No,Yes,none,,522.0
BUR_LBGZIQOI,SME_01717,2022-04-29,Have now,Used to have but don't have now,Never had,Never had,Have now,Never had,0,0,0.0,0.0,,No,No,equipment,579.14,612.0
BUR_5C66XG1K,SME_01406,2022-02-24,Never had,Never had,Never had,Never had,Never had,Never had,1,0,6851.95,4130.8,0.0,Sometimes,No,land,21849.19,
BUR_Q66I1ONO,SME_02310,2022-11-02,Used to have but don't have now,Never had,Used to have but don't have now,Never had,Never had,Never had,3,1,2091.64,149.05,0.0,No,Sometimes,land,18430.56,612.0
BUR_KDJWG2CD,SME_02370,2023-04-22,Never had,Never had,Never had,Never had,Never had,Never had,0,0,0.0,0.0,,No,No,none,,
BUR_FARXDZAH,SME_02120,2020-11-06,Never had,Have now,Never had,Never had,Never had,Never had,1,0,2161.67,313.41,0.0,Yes,No,none,,
BUR_FPEQI77H,SME_00087,2023-09-28,Never had,Never had,Never had,Never had,Never had,Never had,7,1,1427.48,793.81,30.0,Yes,No,none,,
BUR_QTBGA7O2,SME_04454,2022-05-16,Never had,Never had,Never had,Never had,Never had,Used to have but don't have now,0,0,0.0,0.0,,No,Sometimes,equipment,12476.37,
BUR_N5VO8I6H,SME_03624,2021-08-09,Never had,Never had,Never had,Never had,Never had,Never had,1,0,8650.53,3355.49,0.0,No,No,land,2211.67,
BUR_1ROEFVK9,SME_02672,2020-10-23,Never had,Used to have but don't have now,Never had,Never had,Never had,Never had,3,0,1423.45,984.27,0.0,No,Yes,none,,
BUR_J5EUVQCU,SME_02805,2020-01-09,Have now,Have now,Never had,Never had,Have now,Never had,1,1,4183.27,1174.28,120.0,Sometimes,No,none,,607.0
BUR_F7MCF708,SME_04453,2021-02-02,Have now,Have now,Never had,Never had,Have now,Never had,5,6,5719.57,1721.44,0.0,No,No,none,,621.0
BUR_WCZYGVBG,SME_00007,2023-08-26,Never had,Have now,Never had,Never had,Never had,Never had,1,0,2984.93,926.75,30.0,No,No,none,,
BUR_YOD69KUB,SME_02613,2021-01-16,Never had,Have now,Never had,Never had,Never had,Never had,1,0,9977.92,7857.79,0.0,No,No,none,,
BUR_ZFEABNFB,SME_00463,2021-06-05,Have now,Have now,Never had,Never had,Have now,Never had,3,1,959.75,549.88,0.0,No,Sometimes,none,,558.0
BUR_SZ0WGC2V,SME_02433,2021-07-22,Never had,Have now,Have now,Never had,Have now,Never had,2,0,1925.39,1189.73,0.0,No,Sometimes,equipment,283.65,
BUR_GN93JRLI,SME_02443,2022-01-17,Never had,Have now,Have now,Never had,Never had,Never had,0,0,0.0,0.0,,Sometimes,No,equipment,1445.02,
BUR_QZAYAUUL,SME_03677,2022-02-09,Have now,Have now,Never had,Never had,Have now,Never had,1,1,3245.72,431.23,0.0,No,Sometimes,equipment,9151.28,474.0
BUR_8UKONXMB,SME_02435,2023-04-14,Never had,Have now,Never had,Never had,Never had,Never had,2,0,4083.71,777.07,0.0,Sometimes,No,none,,
BUR_IG15J9JN,SME_01012,2020-07-01,Never had,Have now,Never had,Never had,Never had,Never had,0,0,0.0,0.0,,No,No,none,,
BUR_9O97L4VI,SME_00575,2020-09-08,Never had,Have now,Never had,Never had,Have now,Never had,2,0,1127.38,488.21,0.0,Sometimes,No,none,,
BUR_1PW7Y19X,SME_00976,2021-02-14,Have now,Have now,Never had,Never had,Have now,Never had,0,0,0.0,0.0,,No,Sometimes,none,,714.0
BUR_857Z4RRF,SME_02449,2021-01-04,Never had,Never had,Never had,Never had,Never had,Never had,1,0,12098.8,1871.71,30.0,No,No,none,,
BUR_3UT322H6,SME_00945,2020-06-26,Never had,Have now,Never had,Never had,Never had,Never had,0,0,0.0,0.0,,No,No,none,,
BUR_K4NIRT0B,SME_04148,2023-05-09,Never had,Have now,Never had,Have now,Never had,Never had,2,1,5912.3,785.14,0.0,No,No,equipment,86152.19,
BUR_141U64YH,SME_01315,2022-08-28,Never had,Used to have but don't have now,Never had,Never had,Never had,Never had,3,1,8536.82,4948.31,0.0,No,No,land,14399.15,
BUR_N8RNUCTQ,SME_00672,2023-06-25,Have now,Never had,Never had,Never had,Have now,Never had,0,0,0.0,0.0,,No,No,inventory,818.12,561.0
BUR_1C63VTC2,SME_00826,2021-11-18,Never had,Never had,Never had,Never had,Never had,Never had,0,0,0.0,0.0,,Yes,Yes,none,,
BUR_3C7EPEOZ,SME_05121,2020-05-06,Have now,Never had,Have now,Never had,Have now,Never had,0,0,0.0,0.0,,No,Sometimes,equipment,14856.32,735.0
BUR_LKP9Q2LV,SME_04605,2023-07-25,Never had,Have now,Never had,Never had,Never had,Never had,2,1,8677.58,1278.98,0.0,No,No,none,,
